               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.011958,           0.0022374,           0.0022141,             0.99697,                   1,               0.995,             0.92409,           0.0099474,           0.0019497,           0.0016553,           0.0082774,           0.0082774,           0.0082774
                  89,            0.013379,           0.0022483,           0.0025537,             0.99814,                   1,               0.995,             0.95134,           0.0095638,           0.0018251,           0.0016347,           0.0082576,           0.0082576,           0.0082576
                  90,            0.012375,           0.0022465,             0.00214,             0.99835,                   1,               0.995,             0.95437,           0.0082575,           0.0018897,           0.0016041,           0.0082378,           0.0082378,           0.0082378
                  91,             0.01289,           0.0023007,           0.0021301,             0.99864,                   1,               0.995,             0.94603,           0.0077352,           0.0017474,           0.0015083,            0.008218,            0.008218,            0.008218
                  92,            0.011701,            0.002204,           0.0019956,             0.99868,                   1,               0.995,             0.94014,           0.0084715,           0.0017707,           0.0015734,           0.0081982,           0.0081982,           0.0081982
                  93,            0.010266,           0.0022172,           0.0020383,             0.99864,                   1,               0.995,              0.9513,            0.010101,           0.0017188,           0.0015926,           0.0081784,           0.0081784,           0.0081784
                  94,            0.011338,            0.002198,           0.0020812,             0.99853,                   1,               0.995,             0.95831,           0.0062389,           0.0016467,           0.0016233,           0.0081586,           0.0081586,           0.0081586
                  95,           0.0090836,           0.0021211,           0.0020966,             0.99852,                   1,               0.995,             0.95257,            0.008128,           0.0017035,           0.0015085,           0.0081388,           0.0081388,           0.0081388
                  96,            0.011282,            0.002168,           0.0019578,             0.99856,                   1,               0.995,             0.91978,           0.0094521,              0.0019,           0.0014857,            0.008119,            0.008119,            0.008119
                  97,            0.010259,            0.002117,           0.0021051,             0.99773,                   1,               0.995,             0.95852,           0.0079678,           0.0017198,           0.0014761,           0.0080992,           0.0080992,           0.0080992
                  98,            0.011355,           0.0021496,           0.0019783,             0.99861,                   1,               0.995,             0.96643,           0.0067784,           0.0017353,           0.0014151,           0.0080794,           0.0080794,           0.0080794
                  99,            0.013583,           0.0021672,           0.0022654,             0.99879,                   1,               0.995,             0.95487,           0.0077312,           0.0017915,           0.0013939,           0.0080596,           0.0080596,           0.0080596
                 100,            0.012196,           0.0022278,           0.0021654,              0.9982,                   1,               0.995,             0.95618,           0.0070566,           0.0016796,           0.0016085,           0.0080398,           0.0080398,           0.0080398
                 101,             0.01067,           0.0021841,           0.0021554,             0.99788,                   1,               0.995,             0.96724,           0.0066874,           0.0016275,           0.0015699,             0.00802,             0.00802,             0.00802
                 102,           0.0093697,           0.0022083,           0.0019444,             0.99862,                   1,               0.995,             0.93465,           0.0074795,           0.0017193,           0.0014238,           0.0080002,           0.0080002,           0.0080002
                 103,            0.010702,           0.0021308,           0.0018344,             0.99849,                   1,               0.995,             0.96322,           0.0074591,           0.0016439,           0.0014207,           0.0079804,           0.0079804,           0.0079804
                 104,             0.01136,           0.0020971,           0.0019092,             0.99812,                   1,               0.995,             0.95055,           0.0065258,           0.0016698,           0.0015072,           0.0079606,           0.0079606,           0.0079606
                 105,              0.0114,           0.0021607,           0.0019279,              0.9977,                   1,               0.995,             0.94974,           0.0077852,           0.0016981,           0.0015062,           0.0079408,           0.0079408,           0.0079408
                 106,            0.010525,            0.002019,           0.0019075,             0.99863,                   1,               0.995,             0.95686,           0.0069802,            0.001671,           0.0014846,            0.007921,            0.007921,            0.007921
                 107,            0.011665,           0.0022115,            0.002048,             0.99707,                   1,               0.995,             0.94773,           0.0067863,           0.0016867,           0.0014241,           0.0079012,           0.0079012,           0.0079012
                 108,             0.01384,           0.0021583,           0.0022378,             0.99839,             0.99876,               0.995,             0.96445,           0.0072469,            0.001727,           0.0014628,           0.0078814,           0.0078814,           0.0078814
                 109,             0.01023,           0.0021964,           0.0020235,             0.99083,             0.99792,             0.99435,             0.95239,           0.0074248,           0.0017215,           0.0019435,           0.0078616,           0.0078616,           0.0078616
                 110,            0.010893,           0.0021418,           0.0019025,             0.99813,                   1,               0.995,             0.97003,           0.0070971,            0.001649,           0.0013318,           0.0078418,           0.0078418,           0.0078418
                 111,            0.011435,            0.002108,           0.0019303,             0.99854,                   1,               0.995,             0.96407,           0.0063408,           0.0016584,           0.0013552,            0.007822,            0.007822,            0.007822
